Blogs, Tech, Host, Repository, Comment
- [Adam C. Conrad](https://userinterfacing.com/), GeneratePress 
- [Adam Rackis](https://adamrackis.dev/), Gatsby React Hooks, Heroku, , to beverified
- [Angie Jones](http://angiejones.tech/), unknown
- [Angus Croll](https://javascriptweblog.wordpress.com/), WordPress 
- [Aditya Rohilla](https://adityarohilla.com/blog/), WordPress
- [Alan Bi](https://alanbi.com/blog/), React, GitHub Pages, https://github.com/alankbi/alankbi.github.io
- [Alan Chang](https://tcode2k16.github.io/blog/), Hugo, GitHub Pages, https://github.com/tcode2k16, good Hugo theme mini 
- [Alexandru-Paul Copil](https://cpl.li), Hugo, , , good Archie theme
- [Ali Spittel](https://dev.to/aspittel), Ruby on Rails, Dev.to 
- [Amadou Sall](https://www.amadousall.com), Angular,,, he is Augular expert so pbbly
- [Aman Pratap Singh](https://blog.amanpratapsingh.in), site down
- [Amit Chaudhary](https://amitness.com), Jekyll, GitHub Pages,, Minimal Mistakes theme good dev
- [Amit Merchant](https://www.amitmerchant.com/), unknown
- [Andrew Healey](https://healeycodes.com/), Next.js, Vercel, https://github.com/healeycodes/healeycodes.com, minimalist
- [Andy Bell](https://andy-bell.design/), Next on Netlify, , , a ton of hyperlinks
- [Anton Medvedev](https://medv.io), unknown
- [Antonin Januska](https://antjanus.com/), Ruby on Rails, Dev.to,
- [Arun Michael Dsouza](https://arunmichaeldsouza.com), Next on Netlify,, https://github.com/ArunMichaelDsouza/arunmichaeldsouza.com, /blog url down
- [Ata Sanchez](https://atasanchez.com/), site down
- [Avinash](https://avinash.com.np/), unknown
- [Benedikt Meurer](https://benediktmeurer.de/), eleventy, Netlify, https://github.com/bmeurer/benediktmeurer.de, used to be on Jekyll and GitHub Pages
- [Berkhan Berkdemir](https://berkhanberkdemir.com), unknown
- [Brandon Dail](https://aweary.dev/), unknown,,, the blog has only one post
- [Brandon Skerritt](https://skerritt.blog/), Hugo,,, theme PaperMod
- [Bryan Cantrill](http://dtrace.org/blogs/bmc/), WordPress, 
- [Chase McCoy](https://chasem.co/thoughts/), plain html and css,,, impressive how he does not use any framework
- [Chiamaka Ikeanyi](https://chiamakaikeanyi.dev/), unknown
- [Chris Biscardi](https://www.christopherbiscardi.com/), Toast Sector MDX
- [Christopher Olah](http://colah.github.io/),,, https://github.com/colah/colah.github.io
- [Christian Fei](https://christianfei.com/), unknown,,, probably Jekyll judged by his GitHub and theme
- [Colin Cummings](https://colinrcummings.github.io/blog/), Gatsby
- [Dan Abramov](https://overreacted.io/), Gatsby, ,, theme based on Night Owl
- [Daniel Lemay](https://www.dslemay.com/), Gatsby,, https://github.com/entorenee/Portfolio-Site,
- [Daniel Lo Nigro](https://d.sb/blog), C# with ASP.NET Core MVC,, https://github.com/Daniel15/Website, looks very old
